,index,Name,Country,Whiskies,Votes,Rating,
0,1,12 Barrels,Netherlands,7,7,86.36,
1,2,1423 - World Class Spirits,Denmark,1,1,83.17,
2,3,16 states,Germany,4,2,85.34,
3,4,18 Brands Spirits,United States,1,,0.00,
4,5,1890 Wines & Spirits,United States,1,,0.00,
5,6,1st Pannonian Whisky Club,Austria,1,,0.00,
6,7,28 Mile Distilling,United States,1,,0.00,
7,8,3006 Whisky,Netherlands,84,71,86.04,
8,9,39 North Spirits,United States,2,,0.00,
9,10,82 Chapters to Newcastle,Germany,39,36,85.97,
10,11,A & C Walker Ltd.,Scotland,2,1,73.00,
11,12,A & G Selection,Italy,10,10,86.82,
12,13,A Few Barrels Company,Switzerland,21,8,87.03,
13,14,A Taste of Scotland Ltd.,Scotland,1,1,65.00,
14,15,A. & A. Crawford Ltd.,Scotland,31,19,82.12,
15,16,A. & B. Mackay Ltd.,Scotland,2,,0.00,
16,17,A. A. Baker,United Kingdom,1,,0.00,
17,18,A. A. Muirhead,Scotland,4,,,
18,19,A. Alexander & Co.,Scotland,11,3,78.33,
19,20,A. Bulloch & Co.,Scotland,7,3,79.33,
20,21,A. Ferguson & Company,Scotland,18,5,68.01,
21,22,A. Gillies & Co. (Distillers) Ltd.,Scotland,48,15,81.88,
22,23,A. J. Ponte & Co.,Scotland,3,,,
23,24,A. Walters & Co.,Scotland,1,,0.00,
24,25,A.D. Rattray,Scotland,1092,912,85.58,
25,26,A.D.C. Halford & Co. Ltd.,Scotland,1,,0.00,
26,27,Abbey Whisky,Scotland,21,19,87.30,
27,28,Abbeyhill Distilling Co. Ltd.,Scotland,23,10,84.55,
28,29,Aberdeen Whisky Company,Scotland,8,1,81.75,
29,30,Aberfoyle & Knight Ltd.,Scotland,3,2,81.38,
30,31,Aboyne Bottlers,Scotland,1,,0.00,
31,32,Abyss,Hong Kong,1,1,86.67,
32,33,Aceo Limited,United Kingdom,54,41,83.93,
33,34,Acla da Fans,Switzerland,97,95,87.33,
34,35,Acorn,Japan,198,143,86.54,
35,36,Acredyke Whisky Ltd.,Scotland,38,17,80.27,
36,37,Ad Fundum,Germany,1,,0.00,
37,38,Adelphi,Scotland,982,876,87.07,
38,39,Adolf Weisenbach,Germany,4,4,90.00,
39,40,Aflodal,Sweden,4,3,87.53,
40,41,Aged Spirits,Scotland,15,10,88.57,
41,42,AGITATOR WHISKYMAKARE,Sweden,2,2,84.25,
42,43,Agitator Wines,United States,2,,0.00,
43,44,Aikan Whisky,Martinique,8,7,78.50,
44,45,Ainneamh,Scotland,16,12,85.78,
45,46,Ainslie & Heilbron,Scotland,51,35,83.79,
46,47,"Ainslie, Baillie & Co. Ltd.",Scotland,1,1,80.00,
47,48,Aird Blenders,Scotland,13,9,82.44,
48,49,Alambic Classique,Germany,304,240,86.72,
49,50,Alba Import,Germany,76,70,85.06,
50,51,Alba Whisky Shop,Germany,2,2,87.39,
51,52,Albany Blenders Ltd.,Scotland,14,5,77.33,
52,53,Alchemist,Scotland,60,51,84.41,
53,54,Alex Albright & Co. Ltd.,Scotland,7,,,
54,55,Alex. Macdonald & Co.,Scotland,1,,0.00,
55,56,Alexander & Macdonald Ltd.,Scotland,4,2,85.00,
56,57,Alexander Blending Co. Ltd.,Scotland,12,5,82.65,
57,58,Alexander Davey Ltd.,Scotland,1,,0.00,
58,59,Alexander Dunn & Co,Scotland,22,10,84.46,
59,60,Alexander MacGregor & Co.,Scotland,16,10,56.83,
60,61,Alexander McKenzie & Co. Ltd.,Scotland,1,,0.00,
61,62,Alexander Muir & Son Ltd.,Scotland,10,3,81.33,
62,63,Alexander Murray & Co,Scotland,163,94,84.52,
63,64,Alexander Raeburn & Co.,Scotland,1,1,85.00,
64,65,Alexander Stevenson & Co. Ltd.,Scotland,1,,,
65,66,Alfred Barnard and Company,Scotland,23,2,85.00,
66,67,Alfred Giraud,France,5,5,84.33,
67,68,Alistair Forfar Ltd,Scotland,2,1,75.00,
68,69,Alistair Graham Ltd.,Scotland,6,1,82.00,
69,70,Alistair Walker Whisky Company,Scotland,116,103,86.57,
70,71,Allan Cameron & Sons Ltd.,Scotland,3,,,
71,72,Almighty Spirits,United States,5,,,
72,73,Alpha Whisky,Scotland,1,,0.00,
73,74,Alphabet Whisky,Israel,1,1,82.00,
74,75,Alsace Ltd,France,21,14,78.34,
75,76,Alte Brennerei,Germany,16,5,80.20,
76,77,Alte Tabakstube,Germany,32,18,87.80,
77,78,Amazing Spirits - Markus Mattonet,Germany,1,,,
78,79,Americana Whiskey,United Kingdom,3,3,82.78,
79,80,Anam na h-Alba,Germany,238,236,86.13,
80,81,Anderson & Mortimer,United Kingdom,10,5,90.92,
81,82,Anderson & Shaw,Scotland,10,4,84.00,
82,83,Anderson Kerr Ltd.,Scotland,3,1,79.50,
83,84,Andrew Collie & Co. Ltd.,Scotland,1,1,92.00,
84,85,Andrew D. Thomas & Co.,Scotland,5,1,70.00,
85,86,Andrew D. Thomson & Co. Ltd.,Scotland,8,3,77.90,
86,87,Andrew Laing & Co. Ltd.,Scotland,7,2,78.50,
87,88,Andrew Macdonald (London) Ltd.,England,2,,0.00,
88,89,Andrews Mitchell Ltd.,Scotland,1,,,
89,90,Angel's Share Whisky,Hong Kong,1,,0.00,
90,91,Angelshare,Scotland,5,2,84.54,
91,92,Angus Dundee Distillers,United Kingdom,61,44,78.98,
92,93,Angus MacDonald,Scotland,25,17,79.65,
